section,chn_title,en_title,country,year,length,count,price,screen_time,screen_location
嘉年华,攻壳机动队 IMAX,Ghost in the Shell,日本,1995.0,83.0,3,120,2022-08-02 13:15:00,万达影城（CBD万达广场店）IMAX厅
嘉年华,攻壳机动队 IMAX,Ghost in the Shell,日本,1995.0,83.0,3,120,2022-08-21 19:30:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华,教父 50周年杜比视界重制版,The Godfather 50th Anniversary Dolby Vision Remastered,美国,1972.0,175.0,7,180,2022-08-13 13:00:00,寰映影城（合生汇店）杜比影院
嘉年华,教父 50周年杜比视界重制版,The Godfather 50th Anniversary Dolby Vision Remastered,美国,1972.0,175.0,7,180,2022-08-13 18:30:00,万象影城（北京丽泽天街杜比影院）8号杜比影院
嘉年华,教父 50周年杜比视界重制版,The Godfather 50th Anniversary Dolby Vision Remastered,美国,1972.0,175.0,7,180,2022-08-14 15:00:00,寰映影城（合生汇店）杜比影院
嘉年华,教父 50周年杜比视界重制版,The Godfather 50th Anniversary Dolby Vision Remastered,美国,1972.0,175.0,7,180,2022-08-14 18:30:00,耀莱成龙影城（慈云寺店）杜比影院
嘉年华,教父 50周年杜比视界重制版,The Godfather 50th Anniversary Dolby Vision Remastered,美国,1972.0,175.0,7,180,2022-08-02 18:00:00,寰映影城（合生汇店）杜比影院
嘉年华,教父 50周年杜比视界重制版,The Godfather 50th Anniversary Dolby Vision Remastered,美国,1972.0,175.0,7,180,2022-08-02 18:30:00,耀莱成龙影城（慈云寺店）杜比影院
嘉年华,教父 50周年杜比视界重制版,The Godfather 50th Anniversary Dolby Vision Remastered,美国,1972.0,175.0,7,180,2022-08-21 18:30:00,万象影城（北京丽泽天街杜比影院）8号杜比影院
嘉年华,天空之城,Laputa：Castle in the Sky,日本,1986.0,125.0,1,80,2022-08-21 21:45:00,中国电影资料馆艺术影院1号厅
嘉年华-系列饕餮,哈利·波特与魔法石 IMAX,Harry Potter and the Sorcerer's Stone,美国/英国,2001.0,152.0,5,90,2022-08-13 13:00:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与魔法石 IMAX,Harry Potter and the Sorcerer's Stone,美国/英国,2001.0,152.0,5,90,2022-08-14 13:15:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与魔法石 IMAX,Harry Potter and the Sorcerer's Stone,美国/英国,2001.0,152.0,5,90,2022-08-14 15:30:00,UME影城（华星IMAX店）2号IMAX厅
嘉年华-系列饕餮,哈利·波特与魔法石 IMAX,Harry Potter and the Sorcerer's Stone,美国/英国,2001.0,152.0,5,90,2022-08-17 19:30:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与魔法石 IMAX,Harry Potter and the Sorcerer's Stone,美国/英国,2001.0,152.0,5,90,2022-08-02 13:15:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与密室 IMAX,Harry Potter and the Chamber of Secrets,美国/英国/德国,2002.0,161.0,5,90,2022-08-13 16:15:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与密室 IMAX,Harry Potter and the Chamber of Secrets,美国/英国/德国,2002.0,161.0,5,90,2022-08-14 16:15:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与密室 IMAX,Harry Potter and the Chamber of Secrets,美国/英国/德国,2002.0,161.0,5,90,2022-08-14 19:00:00,UME影城（华星IMAX店）2号IMAX厅
嘉年华-系列饕餮,哈利·波特与密室 IMAX,Harry Potter and the Chamber of Secrets,美国/英国/德国,2002.0,161.0,5,90,2022-08-18 19:30:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与密室 IMAX,Harry Potter and the Chamber of Secrets,美国/英国/德国,2002.0,161.0,5,90,2022-08-02 16:15:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与阿兹卡班的囚徒 IMAX,Harry Potter and the Prisoner of Azkaban,英国/美国,2004.0,141.0,5,90,2022-08-13 19:30:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与阿兹卡班的囚徒 IMAX,Harry Potter and the Prisoner of Azkaban,英国/美国,2004.0,141.0,5,90,2022-08-14 19:30:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与阿兹卡班的囚徒 IMAX,Harry Potter and the Prisoner of Azkaban,英国/美国,2004.0,141.0,5,90,2022-08-15 19:30:00,UME影城（华星IMAX店）2号IMAX厅
嘉年华-系列饕餮,哈利·波特与阿兹卡班的囚徒 IMAX,Harry Potter and the Prisoner of Azkaban,英国/美国,2004.0,141.0,5,90,2022-08-19 19:30:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与阿兹卡班的囚徒 IMAX,Harry Potter and the Prisoner of Azkaban,英国/美国,2004.0,141.0,5,90,2022-08-02 19:30:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与火焰杯 IMAX,Harry Potter and the Goblet of Fire,英国/美国,2005.0,157.0,5,90,2022-08-14 13:15:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与火焰杯 IMAX,Harry Potter and the Goblet of Fire,英国/美国,2005.0,157.0,5,90,2022-08-16 19:30:00,UME影城（华星IMAX店）2号IMAX厅
嘉年华-系列饕餮,哈利·波特与火焰杯 IMAX,Harry Potter and the Goblet of Fire,英国/美国,2005.0,157.0,5,90,2022-08-18 19:30:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与火焰杯 IMAX,Harry Potter and the Goblet of Fire,英国/美国,2005.0,157.0,5,90,2022-08-02 15:00:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与火焰杯 IMAX,Harry Potter and the Goblet of Fire,英国/美国,2005.0,157.0,5,90,2022-08-21 13:15:00,卢米埃影城（长楹天街IMAX店）IMAX厅
嘉年华-系列饕餮,哈利·波特与凤凰社 IMAX,Harry Potter and the Order of the Phoenix,美国/英国,2007.0,138.0,5,90,2022-08-14 16:15:00,万达影城（CBD万达广场店）IMAX厅
嘉年华-系列饕餮,哈利·波特与凤凰社 IMAX,Harry Potter and the Order of the Phoenix,美国/英国,2007.0,138.0,5,90,2022-08-17 19:30:00,UME影城（华星IMAX店）2号IMAX厅
嘉年华-系列饕餮,哈利·波特与凤凰社 IMAX,Harry Potter and the Order of the Phoenix,美国/英国,2007.0,138.0,5,90,2022-08-19 19:30:00,卢米埃影城（长楹天街IMAX店）IMAX厅
